tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
0,100,53,47,20,2.35,43,4,43.0,4.0,71.0,0.17900000000000002,-0.007547169811320753,0.0,0.17500000000000002,0.17500000000000002,0.175,0.191,0.17500000000000002,0.18254716981132077,0,500,150,100,0.005,
50,106,25,81,28,2.892857142857143,70,11,66.0377358490566,10.377358490566039,72.64150943396227,10.004481132075469,0.03605156136528695,0.06357257448433928,0.2356848739495799,0.17211229946524062,0.17500000000000002,0.1972222222222221,0.2270515613652869,0.19099999999999995,0,500,150,100,0.005,
100,124,25,99,33,3.0,87,12,70.16129032258064,9.67741935483871,75.80645161290323,19.241330645161298,0.048260744256244076,0.08102502922706048,0.24908195992013007,0.1680569306930696,0.1750000000000003,0.1972222222222219,0.2392607442562439,0.19099999999999984,0,500,150,100,0.005,
150,148,20,128,42,3.0476190476190474,115,13,77.70270270270271,8.783783783783784,79.72972972972973,26.747522522522537,0.06583134452350803,0.10303085465320555,0.27129541569922394,0.1682645610460184,0.17500000000000046,0.19852941176470545,0.2608313445235077,0.19499999999999967,0,500,150,100,0.005,
200,193,18,175,55,3.1818181818181817,160,15,82.90155440414507,7.772020725388601,83.93782383419689,31.769127806563052,0.08264233111849384,0.13672576474860823,0.2915839046048826,0.15485813985627436,0.1750000000000002,0.20000000000000015,0.2798645533407162,0.19722222222222235,0,500,150,100,0.005,
250,270,17,253,76,3.3289473684210527,238,15,88.14814814814815,5.555555555555555,88.51851851851852,34.44682098765432,0.10377800712417748,0.1594620758087614,0.3117616921581782,0.15229961634941683,0.1749999999999996,0.20000000000000068,0.30230741888888396,0.19852941176470648,0,500,150,100,0.005,
300,408,16,392,110,3.5636363636363635,370,22,90.68627450980392,5.392156862745098,90.68627450980392,33.87485702614377,0.09081755706139519,0.1401827409486844,0.2986849557881081,0.1585022148394237,0.0,0.20000000000000104,0.2908175570613962,0.20000000000000104,0,500,150,100,0.005,
350,572,16,556,153,3.633986928104575,530,24,92.65734265734265,4.195804195804196,92.65734265734265,35.985576923076906,0.09878029556901627,0.14674188742030883,0.30513734484354355,0.15839545742323471,0.0,0.20000000000000132,0.2987802955690176,0.20000000000000132,0,500,150,100,0.005,
400,871,16,855,235,3.6382978723404253,821,31,94.25947187141217,3.5591274397244548,94.25947187141217,36.01767125908914,0.11056872154264683,0.1606782438573462,0.3164149956736081,0.1557367518162619,0.0,0.20000000000000148,0.3105687215426483,0.20000000000000148,0,500,150,100,0.005,
450,1325,16,1309,356,3.6769662921348316,1261,43,95.16981132075472,3.2452830188679247,95.16981132075472,36.24780125786161,0.10934528370952715,0.17006704533336273,0.31495332278110444,0.1448862774477417,0.0,0.20000000000000165,0.3093452837095288,0.20000000000000165,0,500,150,100,0.005,
0,100,48,52,17,3.0588235294117645,49,3,49.0,3.0,74.0,0.207,0.047516025641025694,0.05816326530612245,0.23316326530612247,0.17500000000000002,0.175,0.19021739130434784,0.22980769230769235,0.18229166666666666,1,500,150,100,0.005,
50,108,29,79,25,3.16,72,7,66.66666666666667,6.481481481481482,75.92592592592592,8.698611111111111,0.0029843976001575623,0.04609885620915033,0.1941380718954248,0.14803921568627448,0.175,0.19342105263157885,0.1900533631173989,0.18706896551724134,1,500,150,100,0.005,
100,130,27,103,30,3.433333333333333,95,8,73.07692307692308,6.153846153846154,80.0,15.334038461538473,0.0023955874551859213,0.04483064095883266,0.1938405419489319,0.14900990099009925,0.17500000000000032,0.1944444444444442,0.19035855041814878,0.18796296296296286,1,500,150,100,0.005,
150,150,22,128,37,3.4594594594594597,118,10,78.66666666666667,6.666666666666667,82.66666666666667,21.800750000000008,0.003252302943241109,0.030454563945328528,0.1965406566605607,0.16608609271523217,0.17500000000000046,0.19687499999999963,0.19416139385233183,0.19090909090909072,1,500,150,100,0.005,
200,192,18,174,47,3.702127659574468,161,13,83.85416666666667,6.770833333333333,85.41666666666667,24.29941406250001,-0.0074158898941380225,0.0323853323098178,0.1817090659776208,0.149323733667803,0.17500000000000018,0.18904643449419586,0.17928947218435853,0.18670536207849656,1,500,150,100,0.005,
250,270,14,256,65,3.9384615384615387,239,17,88.51851851851852,6.296296296296297,88.51851851851852,24.137824074074064,-0.02938031979506686,0.04052220156059658,0.17331060765231715,0.13278840609172057,0.0,0.20000000000000065,0.1706196802049338,0.20000000000000065,1,500,150,100,0.005,
300,367,14,353,86,4.104651162790698,334,19,91.00817438692098,5.177111716621253,91.00817438692098,25.267336512261558,-0.028540699721656376,0.04250716560952705,0.173747221373475,0.13124005576394795,0.0,0.20000000000000104,0.17145930027834466,0.20000000000000104,1,500,150,100,0.005,
350,515,14,501,119,4.2100840336134455,480,21,93.20388349514563,4.077669902912621,93.20388349514563,26.043131067961134,-0.00977749551037102,0.05962637094406362,0.19272181345135758,0.13309544250729397,0.0,0.20000000000000137,0.19022250448963035,0.20000000000000137,1,500,150,100,0.005,
400,817,14,803,187,4.294117647058823,775,28,94.859241126071,3.427172582619339,94.859241126071,24.30497246022029,-0.0032962464119601353,0.07248431672785191,0.19923122664953552,0.1267469099216836,0.0,0.20000000000000148,0.19670375358804135,0.20000000000000148,1,500,150,100,0.005,
450,1222,14,1208,277,4.3610108303249095,1172,36,95.90834697217676,2.9459901800327333,95.90834697217676,24.341417757774114,0.005692778287161138,0.09514420571437243,0.20852820163626656,0.11338399592189413,0.0,0.2000000000000016,0.20569277828716273,0.2000000000000016,1,500,150,100,0.005,
0,100,47,53,19,2.789473684210526,49,4,49.0,4.0,73.0,0.19450000000000006,0.022741870734644787,0.03265306122448983,0.20765306122448984,0.17500000000000002,0.17500000000000002,0.19021739130434784,0.2051886792452831,0.18244680851063833,2,500,150,100,0.005,
