cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
7531,11000111,NAND,0,0,0,2271,defector,60.4,302,29.705,88.017,2,500,250,100,0.3,,,,
7532,01101000,OR,0,1,1,2272,defector,52.85,302,206.064,71.863,2,500,250,100,0.3,,,,
7533,01101001,OR,0,1,1,2272,defector,52.85,302,202.278,83.857,2,500,250,100,0.3,,,,
7534,10111001,XOR,1,0,1,2272,cooperator,52.85,302,212.613,56.294,2,500,250,100,0.3,,,,
7535,11100100,NAND,0,1,1,2273,defector,51.975,297,180.503,82.272,2,500,250,100,0.3,,,,
7536,11101100,NAND,0,1,1,2273,defector,51.975,297,164.017,97.253,2,500,250,100,0.3,,,,
7537,10000100,XOR,0,0,0,2273,defector,59.4,297,131.575,94.394,2,500,250,100,0.3,,,,
7538,00110011,AND,1,0,1,2273,cooperator,51.975,297,156.321,72.598,2,500,250,100,0.3,,,,
7539,11110000,NAND,1,0,1,2274,cooperator,51.8,296,188.988,193.21,2,500,250,100,0.3,,,,
7540,11010101,NAND,1,0,1,2274,cooperator,51.8,296,193.637,215.672,2,500,250,100,0.3,,,,
7541,01010010,OR,1,0,1,2274,cooperator,51.8,296,163.105,210.464,2,500,250,100,0.3,,,,
7542,00101000,AND,0,1,1,2274,defector,51.8,296,179.454,196.729,2,500,250,100,0.3,,,,
7543,00010100,AND,1,0,1,2275,cooperator,51.625,295,248.742,14.664,2,500,250,100,0.3,,,,
7544,11111011,NAND,1,0,1,2276,cooperator,51.275,293,110.321,153.02,2,500,250,100,0.3,,,,
7545,01101101,OR,0,1,1,2276,defector,51.275,293,90.784,163.523,2,500,250,100,0.3,,,,
7546,00100101,AND,0,1,1,2276,defector,51.275,293,34.469,196.794,2,500,250,100,0.3,,,,
7547,00100000,AND,0,1,1,2276,defector,51.275,293,82.536,140.887,2,500,250,100,0.3,,,,
7548,01000110,OR,0,0,0,-1,lone,56.8,284,246.756,27.74,2,500,250,100,0.3,,,,
7549,00101011,AND,0,1,1,2277,defector,49.7,284,169.214,184.346,2,500,250,100,0.3,,,,
7550,10001000,XOR,0,0,0,2277,defector,56.8,284,164.715,176.757,2,500,250,100,0.3,,,,
7551,11100000,NAND,0,1,1,2277,defector,49.7,284,149.52,173.101,2,500,250,100,0.3,,,,
7552,01100111,OR,0,1,1,2277,defector,49.7,284,164.635,150.018,2,500,250,100,0.3,,,,
7553,00100000,AND,0,1,1,2278,defector,46.2,264,99.717,219.029,2,500,250,100,0.3,,,,
7554,11110101,NAND,1,0,1,2278,cooperator,46.2,264,83.321,224.942,2,500,250,100,0.3,,,,
7555,00001001,AND,0,0,0,2278,defector,52.8,264,76.221,216.809,2,500,250,100,0.3,,,,
7557,00100110,AND,0,1,1,2279,defector,46.025,263,200.063,222.245,2,500,250,100,0.3,,,,
7558,10101011,XOR,0,1,1,2279,defector,46.025,263,168.782,221.415,2,500,250,100,0.3,,,,
7559,10111011,XOR,1,0,1,2279,cooperator,46.025,263,184.209,220.627,2,500,250,100,0.3,,,,
7560,01101111,OR,0,1,1,-1,lone,15.4,248,130.471,121.771,2,500,250,100,0.3,,,,
7561,00100011,AND,0,1,1,2322,defector,15.225,247,51.762,24.602,2,500,250,100,0.3,,,,
7562,00110000,AND,1,0,1,2280,cooperator,43.05,246,168.648,89.904,2,500,250,100,0.3,,,,
7563,00011110,AND,1,0,1,2280,cooperator,43.05,246,146.965,89.704,2,500,250,100,0.3,,,,
7564,01100001,OR,0,1,1,2280,defector,43.05,246,143.944,79.074,2,500,250,100,0.3,,,,
7565,00011111,AND,1,0,1,2280,cooperator,43.05,246,145.992,66.96,2,500,250,100,0.3,,,,
7566,11010100,NAND,1,0,1,2281,cooperator,43.05,246,202.361,202.361,2,500,250,100,0.3,,,,
7567,01100000,OR,0,1,1,2281,defector,43.05,246,184.468,207.922,2,500,250,100,0.3,,,,
7568,00100001,AND,0,1,1,2281,defector,43.05,246,175.657,211.05,2,500,250,100,0.3,,,,
7569,01101000,OR,0,1,1,2281,defector,43.05,246,167.198,193.348,2,500,250,100,0.3,,,,
7570,11111010,NAND,1,0,1,2294,cooperator,30.225,239,247.98,124.539,2,500,250,100,0.3,,,,
7571,10101000,XOR,0,1,1,2315,defector,10.325,219,172.238,23.992,2,500,250,100,0.3,,,,
7572,00101111,AND,0,1,1,2311,defector,38.15,218,15.444,51.737,2,500,250,100,0.3,,,,
7573,01001010,OR,0,0,0,-1,lone,43.4,217,247.955,217.704,2,500,250,100,0.3,,,,
7574,10111111,XOR,1,0,1,2282,cooperator,37.625,215,105.886,138.152,2,500,250,100,0.3,,,,
7575,11011000,NAND,1,0,1,2282,cooperator,37.625,215,90.392,143.099,2,500,250,100,0.3,,,,
7576,10010001,XOR,1,0,1,2282,cooperator,37.625,215,77.753,123.14,2,500,250,100,0.3,,,,
7577,01100000,OR,0,1,1,2282,defector,37.625,215,93.632,126.232,2,500,250,100,0.3,,,,
7578,00100101,AND,0,1,1,2286,defector,37.1,212,0.355,248.191,2,500,250,100,0.3,,,,
7579,00010100,AND,1,0,1,2283,cooperator,36.75,210,107.279,222.161,2,500,250,100,0.3,,,,
7580,11101010,NAND,0,1,1,2283,defector,36.75,210,106.813,211.799,2,500,250,100,0.3,,,,
7581,00100000,AND,0,1,1,2283,defector,36.75,210,108.343,197.596,2,500,250,100,0.3,,,,
7582,11111011,NAND,1,0,1,2285,cooperator,43.025,209,0.41,74.684,2,500,250,100,0.3,,,,
7583,10110011,XOR,1,0,1,2284,cooperator,36.575,209,67.035,98.697,2,500,250,100,0.3,,,,
