tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
0,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,0.19624999999999998,0.042708333333333376,0.22187500000000004,0.22187500000000004,0.0,0.17500000000000002,0.1875,0.22187500000000004,0.17916666666666667,0,500,250,20,0.005,
50,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,7.822500000000001,-0.06446078431372548,0.11470588235294119,0.11470588235294119,0.0,0.175,0.18749999999999994,0.11470588235294119,0.17916666666666667,0,500,250,20,0.005,
100,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,15.385000000000023,-0.06709983498349831,0.11206683168316853,0.11206683168316853,0.0,0.17500000000000032,0.18749999999999994,0.11206683168316853,0.17916666666666684,0,500,250,20,0.005,
150,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,23.682500000000044,-0.05582229580573951,0.12334437086092744,0.12334437086092744,0.0,0.17500000000000046,0.1875,0.12334437086092744,0.17916666666666695,0,500,250,20,0.005,
200,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,28.40625000000003,-0.06138059701492543,0.11986940298507473,0.11986940298507473,0.0,0.1750000000000002,0.1937500000000001,0.11986940298507473,0.18125000000000016,0,500,250,20,0.005,
250,23,12,11,4,2.75,11,0,47.82608695652174,0.0,82.6086956521739,32.267391304347775,-0.04254119884099963,0.1387088011590002,0.1387088011590002,0.0,0.1749999999999996,0.1937500000000003,0.1387088011590002,0.18124999999999983,0,500,250,20,0.005,
300,23,12,11,4,2.75,11,0,47.82608695652174,0.0,82.6086956521739,40.03913043478249,-0.044440878888553276,0.13680912111144633,0.13680912111144633,0.0,0.17499999999999918,0.1937500000000005,0.13680912111144633,0.1812499999999996,0,500,250,20,0.005,
350,24,11,13,5,2.6,11,2,45.833333333333336,8.333333333333334,79.16666666666667,44.76145833333317,-0.052052658704613036,0.036953392691097,0.13545066045066004,0.09849726775956304,0.1749999999999989,0.20000000000000087,0.1297655231135682,0.18181818181818124,0,500,250,20,0.005,
400,24,11,13,5,2.6,11,2,45.833333333333336,8.333333333333334,79.16666666666667,52.57395833333312,-0.05038979915977307,0.019516804944329808,0.13443096803445884,0.11491416309012903,0.17499999999999868,0.20000000000000118,0.13142838265840812,0.18181818181818118,0,500,250,20,0.005,
450,27,11,16,6,2.6666666666666665,14,2,51.851851851851855,7.407407407407407,81.48148148148148,54.065740740740495,-0.04143873449656413,0.0169707565553458,0.14250079189103526,0.12553003533568946,0.17499999999999852,0.20000000000000143,0.14037944732161703,0.18181818181818116,0,500,250,20,0.005,
0,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,0.175,0.0,0.17500000000000002,0.17500000000000002,0.0,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.17500000000000002,1,500,250,20,0.005,
50,20,12,8,3,2.6666666666666665,8,0,40.0,0.0,80.0,8.925,-2.7755575615628914e-17,0.175,0.175,0.0,0.175,0.175,0.175,0.17500000000000002,1,500,250,20,0.005,
