mutation_rate,task_flip_period,multicellular_pct
1e-06,1,0.4290705291418711
1e-06,2,0.43149654457236714
1e-06,3,0.4331165212150165
1e-06,4,0.4301005839244965
1e-06,6,0.4377407712947083
1e-06,7,0.4235953566113582
1e-06,10,0.45789947515611235
1e-06,13,0.48260167195658626
1e-06,17,0.5084129199718701
1e-06,22,0.5000378523177266
1e-06,28,0.5516992672090474
1e-06,37,0.5554792288825262
1e-06,48,0.575034768532768
1e-06,62,0.5661818520475316
1e-06,81,0.5870417666331296
1e-06,105,0.5535132201798868
1e-06,136,0.6024581868760087
1e-06,177,0.5933779200980287
1e-06,229,0.5519113804536372
1e-06,297,0.5752440182225513
1e-06,385,0.598204181587921
1e-06,499,0.5778542345441259
1.778279410038923e-06,1,0.43255176142350976
1.778279410038923e-06,2,0.4308990792060133
1.778279410038923e-06,3,0.4312448151146759
1.778279410038923e-06,4,0.42808607960935735
1.778279410038923e-06,6,0.4138996439456608
1.778279410038923e-06,7,0.4251312343998994
1.778279410038923e-06,10,0.44749540803427673
1.778279410038923e-06,13,0.4758135250702236
1.778279410038923e-06,17,0.5099995877283
1.778279410038923e-06,22,0.5162953737766562
1.778279410038923e-06,28,0.5335425806568092
1.778279410038923e-06,37,0.5742806753107997
1.778279410038923e-06,48,0.573427739846086
1.778279410038923e-06,62,0.5558866929225127
1.778279410038923e-06,81,0.5920960848976348
1.778279410038923e-06,105,0.5506333296869587
1.778279410038923e-06,136,0.5681851385960409
1.778279410038923e-06,177,0.5674619374075417
1.778279410038923e-06,229,0.5676172839675969
1.778279410038923e-06,297,0.5857908777040192
1.778279410038923e-06,385,0.5624459751016615
1.778279410038923e-06,499,0.5817413881501798
3.162277660168379e-06,1,0.431101909362779
3.162277660168379e-06,2,0.43081408522043274
3.162277660168379e-06,3,0.4266673576065842
3.162277660168379e-06,4,0.42981831299608136
3.162277660168379e-06,6,0.43969845370030947
3.162277660168379e-06,7,0.43112776918349666
3.162277660168379e-06,10,0.44730977506874114
3.162277660168379e-06,13,0.48854284010487864
3.162277660168379e-06,17,0.4917833485922774
3.162277660168379e-06,22,0.5204626754566318
3.162277660168379e-06,28,0.5206869977743939
3.162277660168379e-06,37,0.5417186798235186
3.162277660168379e-06,48,0.558940050905739
3.162277660168379e-06,62,0.5413456083890374
3.162277660168379e-06,81,0.564100581007247
3.162277660168379e-06,105,0.5539657892142364
3.162277660168379e-06,136,0.5824842356225335
3.162277660168379e-06,177,0.597757679923285
3.162277660168379e-06,229,0.5790617369856811
3.162277660168379e-06,297,0.5892346486366659
3.162277660168379e-06,385,0.5600562538454777
3.162277660168379e-06,499,0.5655704438299457
5.623413251903491e-06,1,0.4303986093218475
5.623413251903491e-06,2,0.42628904939554024
5.623413251903491e-06,3,0.4283378585290382
5.623413251903491e-06,4,0.42411534656356636
5.623413251903491e-06,6,0.42006924214131125
5.623413251903491e-06,7,0.42108099867404086
5.623413251903491e-06,10,0.4571413416792574
5.623413251903491e-06,13,0.46903650833770305
5.623413251903491e-06,17,0.4810020809839783
5.623413251903491e-06,22,0.538003322068847
5.623413251903491e-06,28,0.5370798737753502
5.623413251903491e-06,37,0.560411969305037
5.623413251903491e-06,48,0.5869751103624888
5.623413251903491e-06,62,0.5519171799309107
5.623413251903491e-06,81,0.6068378579395678
5.623413251903491e-06,105,0.5394054546889546
5.623413251903491e-06,136,0.5968294947573431
5.623413251903491e-06,177,0.5745404432557476
5.623413251903491e-06,229,0.5722103911029984
5.623413251903491e-06,297,0.5952148487159928
5.623413251903491e-06,385,0.5778098728935586
5.623413251903491e-06,499,0.5885266417247729
1e-05,1,0.4257717648090595
1e-05,2,0.4258064841892637
1e-05,3,0.42791464345653846
1e-05,4,0.4306003851197741
1e-05,6,0.42502433064658557
1e-05,7,0.42831564303236513
1e-05,10,0.44835163390934013
1e-05,13,0.4535609580872957
1e-05,17,0.5188137930005408
1e-05,22,0.5227163157782744
1e-05,28,0.5750100691399443
1e-05,37,0.5467809694966105
1e-05,48,0.5732831675981825
1e-05,62,0.5784458468999594
1e-05,81,0.5661209749899837
1e-05,105,0.532663207727475
1e-05,136,0.5907889063128541
1e-05,177,0.5446035603259322
1e-05,229,0.5783849105930822
1e-05,297,0.5656781179024816
1e-05,385,0.5735511825530427
1e-05,499,0.5652121884835832
